time_elapsed,population_size,average_fitness
888,261,1.6943404903500077
889,219,1.6962758163458245
890,198,1.6954952214271155
891,188,1.6965654990026933
892,181,1.6975612272680178
893,178,1.6977926726678687
894,176,1.69894748766
895,350,1.6977592238044414
896,350,1.6977592238044414
897,265,1.6954379529961512
898,222,1.6972321889716513
899,201,1.6965631642514423
900,189,1.6980412368172941
901,183,1.7014758202960998
902,180,1.7003565607607019
903,179,1.6999839862920074
904,356,1.698927001897462
905,268,1.6962395511789221
906,224,1.6973913397410432
907,201,1.7008539214678042
908,190,1.6991427755738895
909,184,1.7018063614106214
910,181,1.7007250183844385
911,180,1.7003565607607019
912,358,1.6993075627285212
913,357,1.6991178153113542
914,268,1.7021228137261546
915,223,1.6997382450882974
916,201,1.6989595140379439
917,190,1.7031752975807963
918,184,1.7004344694486204
919,181,1.6993303878816308
920,180,1.6989541823106564
921,358,1.6994046854979743
922,269,1.696632033673131
923,225,1.697855455307177
924,203,1.7016773544226942
925,193,1.7003784429143745
926,187,1.7030389445079657
927,184,1.7013372860497584
928,182,1.7006151969881405
929,362,1.7002481682938317
930,362,1.7002481682938317
931,274,1.698043883075991
932,229,1.6990640480643795
933,208,1.703248749524481
934,196,1.701398885992068
935,190,1.6986885131191591
936,186,1.6986473300259262
937,184,1.6997612254244656
938,366,1.7009782144398775
939,276,1.6985439084932448
940,232,1.699943143011698
941,209,1.7035540061806174
942,197,1.7036277475657817
943,190,1.7027210351260655
944,187,1.7023914588509443
945,185,1.7016924758043925
946,368,1.701337286049753
947,368,1.701337286049753
948,278,1.6990367393001782
949,232,1.699943143011698
950,210,1.703856355630505
951,198,1.7039480487935152
952,192,1.7033911013295129
953,189,1.7030756486055059
954,188,1.702735373381828
955,374,1.7023914588509392
956,281,1.6997628316634186
957,235,1.701390220992239
958,212,1.7038986427188005
959,200,1.7046640475130166
960,193,1.7037209266628164
961,190,1.7027210351260655
962,188,1.7020367121948856
963,374,1.7023914588509392
964,374,1.7023914588509392
965,282,1.7054693173733042
966,235,1.7033232650810155
967,213,1.7029586899576297
968,201,1.6991835858625515
969,195,1.7012068447174666
970,192,1.7040752070750607
971,190,1.7034123419847247
972,378,1.7030756486055008
973,285,1.7061175076183959
974,239,1.704389777642957
975,216,1.7038488108006768
976,203,1.6998521947767826
977,197,1.7018752766559393
978,193,1.7044014878190086
979,191,1.7037455097788203
980,380,1.7034123419847191
981,380,1.7034123419847191
982,287,1.7065421061064698
983,240,1.7046508510305156
984,217,1.7041400484958673
985,204,1.7001815829918818
986,198,1.7022044287468538
987,195,1.7050440098993984
988,193,1.7044014878190088
989,384,1.7040752070750556
990,289,1.706960827798861
991,243,1.7054211786802254
992,219,1.7047145447713115
993,207,1.7011506526681883
